# BLE AoA 7x7 reference grid, measured 2026-09-11. Frame: anchor centre = origin, +x toward tag wall (x=295 cm), +y right FROM TAG, +z up.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Uncertainties (half-ranges, combined in quadrature): x +/-1.0 cm; y +/-0.25 cm; z +/-0.5 cm; floor/ceiling z assumed +/-0.5 cm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Ceiling height above floor measured 259-260 cm (true value <260 cm; the 260.0 entries are at the rounding limit). lambda=12.3 cm (2440 MHz).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
row,col,label,x_cm,y_cm,z_cm,x_unc_cm,y_unc_cm,z_unc_cm,AZ_deg,EL_deg,AZ_unc_deg,EL_unc_deg,z_floor_cm,z_ceiling_cm,height_above_floor_cm,clearance_below_ceiling_cm,EL_floor_image_deg,sep_floor_deg,dL_floor_cm,dL_floor_wavelengths,dL_floor_unc_cm,floor_phase_unc_deg,EL_ceiling_image_deg,sep_ceiling_deg,dL_ceiling_cm,dL_ceiling_wavelengths,floor_specular_x_from_wall_cm,ceiling_specular_x_from_wall_cm,z_surface_unc_cm,height_above_floor_unc_cm,clearance_below_ceiling_unc_cm,floor_ray_phase_unc_deg,dL_ceiling_unc_cm,ceiling_ray_phase_unc_deg,ceiling_height_above_floor_cm,range_unc_cm
5,1,37,295,80,-78,1,0.25,0.5,15.17,-14.32,0.067,0.098,-135.5,124,57.5,202,-32.27,17.95,46,3.74,0.67,11.4,46.84,61.16,131.4,10.69,91.1,189.4,0.5,0.71,0.71,19.6,0.82,24,259.5,0.95
5,2,38,295,40,-78,1,0.25,0.5,7.72,-14.68,0.054,0.101,-135.5,124,57.5,202,-32.96,18.27,47,3.83,0.69,11.7,47.6,62.28,133.7,10.88,88.7,184.5,0.5,0.71,0.71,20.2,0.83,24.3,259.5,0.97
5,3,39,295,0,-78,1,0.25,0.5,0,-14.81,0.049,0.103,-136,124,58,202,-33.33,18.52,47.9,3.9,0.69,11.8,47.86,62.67,134.5,10.94,88.2,182.8,0.5,0.71,0.71,20.2,0.83,24.3,260,0.98
5,4,40,295,-40,-78,1,0.25,0.5,-7.72,-14.68,0.054,0.101,-136,123.5,58,201.5,-33.09,18.41,47.6,3.87,0.69,11.7,47.51,62.19,133,10.82,89,184.6,0.5,0.71,0.71,20.2,0.83,24.3,259.5,0.97
5,5,41,295,-80,-78,1,0.25,0.5,-15.17,-14.32,0.067,0.098,-136.5,123.5,58.5,201.5,-32.54,18.22,47.1,3.83,0.68,11.5,46.76,61.07,130.7,10.63,91.7,189.5,0.5,0.71,0.71,19.9,0.81,23.7,260,0.95
5,6,42,295,-120,-78,1,0.25,0.5,-22.14,-13.76,0.08,0.093,-136.5,123.5,58.5,201.5,-31.48,17.72,45.5,3.7,0.66,11.1,45.58,59.34,127.1,10.34,95.5,197.5,0.5,0.71,0.71,19.3,0.79,23.1,260,0.91
6,0,43,295,120,-117,1,0.25,0.5,22.14,-20.17,0.08,0.096,-135,124,18,241,-25.66,5.49,14,1.14,0.58,11.4,48.89,69.07,145.1,11.8,37.5,210.3,0.5,0.71,0.71,17,0.82,24,259,0.89
6,1,44,295,80,-117,1,0.25,0.5,15.17,-20.95,0.067,0.102,-135.5,124,18.5,241,-26.74,5.79,15,1.22,0.61,11.8,50.06,71,148.8,12.1,36.7,201.8,0.5,0.71,0.71,17.9,0.84,24.6,259.5,0.92
6,2,45,295,40,-117,1,0.25,0.5,7.72,-21.46,0.054,0.106,-135.5,124,18.5,241,-27.35,5.9,15.3,1.25,0.62,12.1,50.8,72.25,151.1,12.29,35.8,196.6,0.5,0.71,0.71,18.2,0.85,24.9,259.5,0.94
6,3,46,295,0,-117,1,0.25,0.5,0,-21.63,0.049,0.107,-136,124,19,241,-27.72,6.08,15.9,1.29,0.63,12.2,51.05,72.69,152,12.36,36.2,194.8,0.5,0.71,0.71,18.4,0.86,25.2,260,0.95
6,4,47,295,-40,-117,1,0.25,0.5,-7.72,-21.46,0.054,0.106,-136,123.5,19,240.5,-27.5,6.05,15.8,1.28,0.62,12.1,50.72,72.18,150.4,12.23,36.5,196.7,0.5,0.71,0.71,18.2,0.85,24.9,259.5,0.94
6,5,48,295,-80,-117,1,0.25,0.5,-15.17,-20.95,0.067,0.102,-136.5,123.5,19.5,240.5,-27.04,6.09,15.9,1.29,0.61,11.9,49.98,70.93,148,12.04,38.2,202,0.5,0.71,0.71,17.9,0.84,24.6,260,0.92
6,6,49,295,-120,-117,1,0.25,0.5,-22.14,-20.17,0.08,0.096,-136.5,123.5,19.5,240.5,-26.1,5.93,15.3,1.25,0.59,11.5,48.82,68.99,144.4,11.74,39.8,210.4,0.5,0.71,0.71,17.3,0.82,24,260,0.89
